timestamp,model_id,task,dataset_split,seq_len,batch_size,dtype,method,qkv_mode,rank,budget,backend,stage,seed,metric_name,metric_value,notes
2026-03-11T00:01:11,compressed_models/modernbert/dense/mnli/pretrained_base,mnli,validation,512,32,bf16,drone,per_head,,,flashsvd15,compress_eval,42,accuracy,0.408864,stage=no_finetune
2026-03-11T00:02:20,compressed_models/modernbert/dense/qnli/pretrained_base,qnli,validation,512,32,bf16,drone,per_head,,,naive,compress_eval,42,accuracy,0.495149,stage=no_finetune
2026-03-11T00:02:20,compressed_models/modernbert/dense/qnli/pretrained_base,qnli,validation,512,32,bf16,drone,per_head,,,sdpa,compress_eval,42,accuracy,0.495149,stage=no_finetune sdpa_path=flash
2026-03-11T00:02:20,compressed_models/modernbert/dense/qnli/pretrained_base,qnli,validation,512,32,bf16,drone,per_head,,,flashsvd15,compress_eval,42,accuracy,0.494966,stage=no_finetune
2026-03-11T00:02:44,compressed_models/modernbert/dense/rte/pretrained_base,rte,validation,512,32,bf16,drone,per_head,,,naive,compress_eval,42,accuracy,0.527076,stage=no_finetune
2026-03-11T00:02:44,compressed_models/modernbert/dense/rte/pretrained_base,rte,validation,512,32,bf16,drone,per_head,,,sdpa,compress_eval,42,accuracy,0.527076,stage=no_finetune sdpa_path=flash
2026-03-11T00:02:44,compressed_models/modernbert/dense/rte/pretrained_base,rte,validation,512,32,bf16,drone,per_head,,,flashsvd15,compress_eval,42,accuracy,0.527076,stage=no_finetune
2026-03-11T00:03:20,compressed_models/modernbert/dense/stsb/pretrained_base,stsb,validation,512,32,bf16,drone,per_head,,,naive,compress_eval,42,pearson,0.382235,stage=no_finetune
2026-03-11T00:03:20,compressed_models/modernbert/dense/stsb/pretrained_base,stsb,validation,512,32,bf16,drone,per_head,,,sdpa,compress_eval,42,pearson,0.382235,stage=no_finetune sdpa_path=flash
2026-03-11T00:03:20,compressed_models/modernbert/dense/stsb/pretrained_base,stsb,validation,512,32,bf16,drone,per_head,,,flashsvd15,compress_eval,42,pearson,0.381880,stage=no_finetune
2026-03-11T00:04:18,compressed_models/modernbert/dense/cola/pretrained_base,cola,validation,512,32,bf16,adasvd,per_head,,0.527,naive,compress_eval,42,matthews_correlation,-0.041127,stage=no_finetune
2026-03-11T00:04:18,compressed_models/modernbert/dense/cola/pretrained_base,cola,validation,512,32,bf16,adasvd,per_head,,0.527,sdpa,compress_eval,42,matthews_correlation,-0.041127,stage=no_finetune sdpa_path=flash
2026-03-11T00:04:18,compressed_models/modernbert/dense/cola/pretrained_base,cola,validation,512,32,bf16,adasvd,per_head,,0.527,flashsvd15,compress_eval,42,matthews_correlation,-0.047735,stage=no_finetune
