task,method,dtype,seq_len,batch_size,backend,lat_real,lat_synthetic,speedup_real,speedup_synth,speedup_delta,seq_pad_real
rte,fwsvd,bf16,512,32,flashsvd15,22.23,22.54,2.915,2.269,-0.646,86.7
rte,fwsvd,bf16,512,32,naive,64.81,51.14,1.0,1.0,0.0,86.7
rte,fwsvd,bf16,512,32,sdpa,26.32,25.3,2.462,2.021,-0.441,86.7
rte,svd,bf16,512,32,flashsvd,44.04,44.47,1.471,1.151,-0.32,86.7
rte,svd,bf16,512,32,flashsvd15,22.24,22.58,2.913,2.267,-0.646,86.7
rte,svd,bf16,512,32,naive,64.78,51.19,1.0,1.0,0.0,86.7
rte,svd,bf16,512,32,sdpa,26.29,25.3,2.464,2.023,-0.441,86.7
sst2,adasvd,bf16,512,32,flashsvd,45.07,45.26,1.456,1.143,-0.313,95.11
sst2,adasvd,bf16,512,32,flashsvd15,20.4,21.07,3.217,2.456,-0.761,95.11
sst2,adasvd,bf16,512,32,naive,65.63,51.74,1.0,1.0,0.0,95.11
sst2,adasvd,bf16,512,32,sdpa,27.49,26.45,2.387,1.956,-0.431,95.11
sst2,dense,bf16,512,32,flashsvd,24.5,23.49,0.999,0.997,-0.002,95.11
sst2,dense,bf16,512,32,flashsvd15,24.51,23.51,0.998,0.996,-0.002,95.11
sst2,dense,bf16,512,32,naive,24.47,23.41,1.0,1.0,0.0,95.11
sst2,dense,bf16,512,32,sdpa,24.51,23.45,0.998,0.998,0.0,95.11
sst2,drone,bf16,512,32,flashsvd,44.14,44.51,1.466,1.15,-0.316,95.11
sst2,drone,bf16,512,32,flashsvd15,22.24,22.52,2.911,2.273,-0.638,95.11
sst2,drone,bf16,512,32,naive,64.73,51.18,1.0,1.0,0.0,95.11
sst2,drone,bf16,512,32,sdpa,26.35,25.3,2.457,2.023,-0.434,95.11
sst2,fwsvd,bf16,512,32,flashsvd,44.15,44.57,1.468,1.147,-0.321,95.11
sst2,fwsvd,bf16,512,32,flashsvd15,22.31,22.56,2.905,2.266,-0.639,95.11
sst2,fwsvd,bf16,512,32,naive,64.8,51.13,1.0,1.0,0.0,95.11
sst2,fwsvd,bf16,512,32,sdpa,26.34,25.35,2.46,2.017,-0.443,95.11
sst2,svd,bf16,512,32,flashsvd,44.06,44.48,1.471,1.149,-0.322,95.11
sst2,svd,bf16,512,32,flashsvd15,22.26,22.59,2.911,2.263,-0.648,95.11
sst2,svd,bf16,512,32,naive,64.8,51.11,1.0,1.0,0.0,95.11
sst2,svd,bf16,512,32,sdpa,26.29,25.31,2.465,2.019,-0.446,95.11
stsb,adasvd,bf16,512,32,flashsvd,45.09,45.22,1.453,1.146,-0.307,93.93
stsb,adasvd,bf16,512,32,flashsvd15,21.41,21.98,3.061,2.357,-0.704,93.93
stsb,adasvd,bf16,512,32,naive,65.53,51.8,1.0,1.0,0.0,93.93
stsb,adasvd,bf16,512,32,sdpa,27.44,26.42,2.388,1.961,-0.427,93.93
stsb,dense,bf16,512,32,flashsvd,24.66,23.54,0.998,1.0,0.002,93.93
stsb,dense,bf16,512,32,flashsvd15,24.62,23.52,0.999,1.0,0.001,93.93
