task,method,backend,input_mode,dtype,seq_len,batch_size,n_repeats,latency_ms,latency_ms_std,throughput_sps,throughput_sps_std,cv_latency_pct
qqp,adasvd,naive,synthetic,bf16,512,32,3,51.95,0.08,616.0,0.9,0.15
qqp,adasvd,sdpa,real,bf16,512,32,3,27.67,0.09,1156.3,3.7,0.33
qqp,adasvd,sdpa,synthetic,bf16,512,32,3,26.59,0.04,1203.5,1.8,0.15
qqp,dense,flashsvd,real,bf16,512,32,3,24.66,0.1,1297.8,5.4,0.41
qqp,dense,flashsvd,synthetic,bf16,512,32,3,23.54,0.08,1359.3,4.8,0.34
qqp,dense,flashsvd15,real,bf16,512,32,3,24.66,0.11,1297.7,6.0,0.45
qqp,dense,flashsvd15,synthetic,bf16,512,32,3,23.56,0.11,1358.2,6.4,0.47
qqp,dense,naive,real,bf16,512,32,3,24.63,0.07,1299.1,3.7,0.28
qqp,dense,naive,synthetic,bf16,512,32,3,23.54,0.11,1359.4,6.3,0.47
qqp,dense,sdpa,real,bf16,512,32,3,24.65,0.1,1298.2,5.2,0.41
qqp,dense,sdpa,synthetic,bf16,512,32,3,23.54,0.09,1359.3,5.3,0.38
qqp,drone,flashsvd,real,bf16,512,32,3,44.19,0.05,724.1,0.8,0.11
qqp,drone,flashsvd,synthetic,bf16,512,32,3,44.53,0.08,718.6,1.3,0.18
qqp,drone,flashsvd15,real,bf16,512,32,3,22.35,0.03,1431.5,1.7,0.13
qqp,drone,flashsvd15,synthetic,bf16,512,32,3,22.64,0.04,1413.7,2.4,0.18
qqp,drone,naive,real,bf16,512,32,3,64.8,0.15,493.9,1.1,0.23
qqp,drone,naive,synthetic,bf16,512,32,3,51.25,0.11,624.3,1.3,0.21
qqp,drone,sdpa,real,bf16,512,32,3,26.35,0.12,1214.6,5.4,0.46
qqp,drone,sdpa,synthetic,bf16,512,32,3,25.35,0.03,1262.5,1.4,0.12
qqp,fwsvd,flashsvd,real,bf16,512,32,3,44.26,0.06,723.0,0.9,0.14
qqp,fwsvd,flashsvd,synthetic,bf16,512,32,3,44.55,0.05,718.2,0.8,0.11
qqp,fwsvd,flashsvd15,real,bf16,512,32,3,22.3,0.12,1435.2,7.6,0.54
qqp,fwsvd,flashsvd15,synthetic,bf16,512,32,3,22.6,0.04,1415.7,2.3,0.18
qqp,fwsvd,naive,real,bf16,512,32,3,64.79,0.13,493.9,1.0,0.2
qqp,fwsvd,naive,synthetic,bf16,512,32,3,51.15,0.05,625.6,0.6,0.1
qqp,fwsvd,sdpa,real,bf16,512,32,3,26.33,0.1,1215.4,4.7,0.38
qqp,fwsvd,sdpa,synthetic,bf16,512,32,3,25.27,0.02,1266.4,1.0,0.08
qqp,svd,flashsvd,real,bf16,512,32,3,44.11,0.08,725.5,1.3,0.18
qqp,svd,flashsvd,synthetic,bf16,512,32,3,44.54,0.05,718.4,0.7,0.11
qqp,svd,flashsvd15,real,bf16,512,32,3,22.33,0.03,1433.0,2.0,0.13
qqp,svd,flashsvd15,synthetic,bf16,512,32,3,22.6,0.03,1415.6,1.9,0.13
qqp,svd,naive,real,bf16,512,32,3,64.8,0.15,493.9,1.1,0.23
qqp,svd,naive,synthetic,bf16,512,32,3,51.16,0.08,625.5,1.0,0.16
qqp,svd,sdpa,real,bf16,512,32,3,26.28,0.09,1217.7,4.3,0.34
qqp,svd,sdpa,synthetic,bf16,512,32,3,25.34,0.04,1262.7,1.7,0.16
rte,adasvd,flashsvd,real,bf16,512,32,3,44.7,0.02,715.9,0.3,0.04
rte,adasvd,flashsvd,synthetic,bf16,512,32,3,44.95,0.06,711.9,0.9,0.13
rte,adasvd,flashsvd15,real,bf16,512,32,3,19.98,0.02,1601.9,1.5,0.1
rte,adasvd,flashsvd15,synthetic,bf16,512,32,3,20.74,0.04,1543.2,2.6,0.19
rte,adasvd,naive,real,bf16,512,32,3,65.3,0.13,490.1,1.0,0.2
rte,adasvd,naive,synthetic,bf16,512,32,3,51.48,0.09,621.6,1.1,0.17
rte,adasvd,sdpa,real,bf16,512,32,3,27.2,0.06,1176.4,2.7,0.22
rte,adasvd,sdpa,synthetic,bf16,512,32,3,26.1,0.02,1225.9,1.0,0.08
rte,dense,flashsvd,real,bf16,512,32,3,24.64,0.11,1298.9,5.7,0.45
rte,dense,flashsvd,synthetic,bf16,512,32,3,23.73,0.08,1348.8,4.7,0.34
rte,dense,flashsvd15,real,bf16,512,32,3,24.62,0.1,1300.0,5.3,0.41
rte,dense,flashsvd15,synthetic,bf16,512,32,3,23.55,0.12,1358.9,7.1,0.51
rte,dense,naive,real,bf16,512,32,3,24.57,0.06,1302.4,3.4,0.24
rte,dense,naive,synthetic,bf16,512,32,3,23.56,0.1,1358.1,5.6,0.42
rte,dense,sdpa,real,bf16,512,32,3,24.6,0.09,1300.6,4.6,0.37
rte,dense,sdpa,synthetic,bf16,512,32,3,23.58,0.11,1357.4,6.3,0.47
rte,drone,flashsvd,real,bf16,512,32,3,44.17,0.05,724.5,0.8,0.11
rte,drone,flashsvd,synthetic,bf16,512,32,3,44.41,0.05,720.5,0.9,0.11
rte,drone,flashsvd15,real,bf16,512,32,3,22.27,0.11,1437.1,7.4,0.49
rte,drone,flashsvd15,synthetic,bf16,512,32,3,22.59,0.05,1416.3,3.2,0.22
rte,drone,naive,real,bf16,512,32,3,64.8,0.14,493.9,1.1,0.22
